brgyDesc,muncity,province,region,zipCode
Adams (Pob.),Adams,Ilocos Norte,REGION I (Ilocos Region),2922
Bani,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Buyon,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Cabaruan,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Cabulalaan,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Cabusligan,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Cadaratan,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Calioet-Libong,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Casilian,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Corocor,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Duripes,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Ganagan,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Libtong,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Macupit,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Nambaran,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Natba,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Paninaan,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Pasiocan,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Pasngal,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Pipias,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Pulangi,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Pungto,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Agustin I (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Agustin II (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Andres I (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Andres II (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Gabriel I (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Gabriel II (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Pedro I (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Pedro II (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Roque I (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Roque II (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Simon I (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Simon II (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
San Vicente (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Sangil,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Santa Filomena I (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Santa Filomena II (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Santa Rita (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Santo Cristo I (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Santo Cristo II (Pob.),Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Tambidao,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Teppang,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Tubburan,Bacarra,Ilocos Norte,REGION I (Ilocos Region),2916
Alay-Nangbabaan (Alay 15-B),Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Alogoog,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Ar-arusip,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Aring,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Balbaldez,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Bato,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Camanga,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Canaan (Pob.),Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Caraitan,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Gabut Norte,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Gabut Sur,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Garreta (Pob.),Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Labut,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Lacuben,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Lubigan,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Mabusag Norte,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Mabusag Sur,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Madupayas,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Morong,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Nagrebcan,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Napu,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
La Virgen Milagrosa (Paguetpet),Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Pagsanahan Norte,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Pagsanahan Sur,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Paltit,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Parang,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Pasuc,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Santa Cruz Norte,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Santa Cruz Sur,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Saud,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Turod,Badoc,Ilocos Norte,REGION I (Ilocos Region),2904
Abaca,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Bacsil,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Banban,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Baruyen,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Dadaor,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Lanao,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Malasin,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Manayon,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Masikil,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Nagbalagan,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Payac,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
San Lorenzo (Pob.),Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Taguiporo,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Utol,Bangui,Ilocos Norte,REGION I (Ilocos Region),2920
Aglipay (Pob.),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Baay,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Baligat,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Bungon,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Baoa East,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Baoa West,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Barani (Pob.),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Ben-agan (Pob.),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Bil-loca,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Biningan,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Callaguip (Pob.),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Camandingan,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Camguidan,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Cangrunaan (Pob.),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Capacuan,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Caunayan (Pob.),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Valdez Pob. (Caoayan),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Colo,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Pimentel (Cubol),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Dariwdiw,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Acosta Pob. (Iloilo),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Ablan Pob. (Labucao),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Lacub (Pob.),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Mabaleng,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Magnuang,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Maipalig,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Nagbacalan,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Naguirangan,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Ricarte Pob. (Nalasin),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Palongpong,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Palpalicong (Pob.),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Parangopong,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Payao,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Quiling Norte,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Quiling Sur,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Quiom,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Rayuray,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
San Julian (Pob.),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
San Mateo,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
San Pedro,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Suabit (Pob.),City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Sumader,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Tabug,City of Batac,Ilocos Norte,REGION I (Ilocos Region),2906
Ablan Sarat,Burgos,Ilocos Norte,REGION I (Ilocos Region),2918
Agaga,Burgos,Ilocos Norte,REGION I (Ilocos Region),2918
Bayog,Burgos,Ilocos Norte,REGION I (Ilocos Region),2918
Bobon,Burgos,Ilocos Norte,REGION I (Ilocos Region),2918
Buduan (Malituek),Burgos,Ilocos Norte,REGION I (Ilocos Region),2918
Nagsurot,Burgos,Ilocos Norte,REGION I (Ilocos Region),2918
Paayas,Burgos,Ilocos Norte,REGION I (Ilocos Region),2918
Pagali,Burgos,Ilocos Norte,REGION I (Ilocos Region),2918
Poblacion,Burgos,Ilocos Norte,REGION I (Ilocos Region),2918
Saoit,Burgos,Ilocos Norte,REGION I (Ilocos Region),2918
Tanap,Burgos,Ilocos Norte,REGION I (Ilocos Region),2918
Angset,Carasi,Ilocos Norte,REGION I (Ilocos Region),2911
Barbaqueso (Pob.),Carasi,Ilocos Norte,REGION I (Ilocos Region),2911
